model,timezero,target_end_date_1wk_ahead,target_group,num_units_eligible
UMass-MechBayes,2020-05-17,2020-05-23,inc,51
UMass-MechBayes,2020-05-24,2020-05-30,inc,51
UMass-MechBayes,2020-05-31,2020-06-06,inc,51
UMass-MechBayes,2020-06-07,2020-06-13,inc,51
UMass-MechBayes,2020-06-14,2020-06-20,inc,51
UMass-MechBayes,2020-06-21,2020-06-27,inc,51
UMass-MechBayes,2020-06-28,2020-07-04,inc,51
UMass-MechBayes,2020-07-05,2020-07-11,inc,51
UMass-MechBayes,2020-07-12,2020-07-18,inc,51
UMass-MechBayes,2020-07-19,2020-07-25,inc,51
UMass-MechBayes,2020-07-26,2020-08-01,inc,51
UMass-MechBayes,2020-08-02,2020-08-08,inc,51
UMass-MechBayes,2020-08-09,2020-08-15,inc,51
UMass-MechBayes,2020-08-16,2020-08-22,inc,51
UMass-MechBayes,2020-08-23,2020-08-29,inc,51
JHU_IDD-CovidSP,2020-05-17,2020-05-23,inc,51
JHU_IDD-CovidSP,2020-05-24,2020-05-30,inc,51
JHU_IDD-CovidSP,2020-05-31,2020-06-06,inc,51
JHU_IDD-CovidSP,2020-06-07,2020-06-13,inc,51
JHU_IDD-CovidSP,2020-06-14,2020-06-20,inc,51
JHU_IDD-CovidSP,2020-06-21,2020-06-27,inc,51
JHU_IDD-CovidSP,2020-06-28,2020-07-04,inc,51
JHU_IDD-CovidSP,2020-07-05,2020-07-11,inc,51
JHU_IDD-CovidSP,2020-07-12,2020-07-18,inc,51
JHU_IDD-CovidSP,2020-07-19,2020-07-25,inc,51
JHU_IDD-CovidSP,2020-07-26,2020-08-01,inc,51
JHU_IDD-CovidSP,2020-08-02,2020-08-08,inc,51
JHU_IDD-CovidSP,2020-08-09,2020-08-15,inc,51
JHU_IDD-CovidSP,2020-08-16,2020-08-22,inc,51
JHU_IDD-CovidSP,2020-08-23,2020-08-29,inc,51
USACE-ERDC_SEIR,2020-06-01,2020-06-06,inc,51
USACE-ERDC_SEIR,2020-06-08,2020-06-13,inc,51
USACE-ERDC_SEIR,2020-06-15,2020-06-20,inc,51
USACE-ERDC_SEIR,2020-06-22,2020-06-27,inc,51
USACE-ERDC_SEIR,2020-06-29,2020-07-04,inc,51
USACE-ERDC_SEIR,2020-07-06,2020-07-11,inc,51
USACE-ERDC_SEIR,2020-07-13,2020-07-18,inc,51
USACE-ERDC_SEIR,2020-07-20,2020-07-25,inc,51
USACE-ERDC_SEIR,2020-07-27,2020-08-01,inc,51
USACE-ERDC_SEIR,2020-08-03,2020-08-08,inc,51
USACE-ERDC_SEIR,2020-08-10,2020-08-15,inc,51
USACE-ERDC_SEIR,2020-08-17,2020-08-22,inc,51
USACE-ERDC_SEIR,2020-08-24,2020-08-29,inc,51
GT-DeepCOVID,2020-05-25,2020-05-30,inc,31
GT-DeepCOVID,2020-06-01,2020-06-06,inc,35
GT-DeepCOVID,2020-06-08,2020-06-13,inc,33
GT-DeepCOVID,2020-06-15,2020-06-20,inc,37
GT-DeepCOVID,2020-06-22,2020-06-27,inc,40
GT-DeepCOVID,2020-06-29,2020-07-04,inc,40
GT-DeepCOVID,2020-07-06,2020-07-11,inc,41
GT-DeepCOVID,2020-07-13,2020-07-18,inc,46
GT-DeepCOVID,2020-07-20,2020-07-25,inc,45
GT-DeepCOVID,2020-07-27,2020-08-01,inc,44
GT-DeepCOVID,2020-08-03,2020-08-08,inc,44
GT-DeepCOVID,2020-08-10,2020-08-15,inc,44
GT-DeepCOVID,2020-08-17,2020-08-22,inc,46
GT-DeepCOVID,2020-08-24,2020-08-29,inc,48
OliverWyman-Navigator,2020-06-07,2020-06-13,inc,47
OliverWyman-Navigator,2020-06-14,2020-06-20,inc,51
OliverWyman-Navigator,2020-06-21,2020-06-27,inc,51
OliverWyman-Navigator,2020-06-28,2020-07-04,inc,51
OliverWyman-Navigator,2020-07-05,2020-07-11,inc,51
OliverWyman-Navigator,2020-07-12,2020-07-18,inc,51
OliverWyman-Navigator,2020-07-19,2020-07-25,inc,51
OliverWyman-Navigator,2020-07-26,2020-08-01,inc,51
OliverWyman-Navigator,2020-08-02,2020-08-08,inc,51
OliverWyman-Navigator,2020-08-09,2020-08-15,inc,51
OliverWyman-Navigator,2020-08-16,2020-08-22,inc,51
OliverWyman-Navigator,2020-08-23,2020-08-29,inc,51
IHME-CurveFit,2020-05-18,2020-05-23,inc,51
IHME-CurveFit,2020-05-29,2020-06-06,inc,51
IHME-CurveFit,2020-06-08,2020-06-13,inc,51
IHME-CurveFit,2020-06-15,2020-06-20,inc,51
IHME-CurveFit,2020-06-22,2020-06-27,inc,51
IHME-CurveFit,2020-06-29,2020-07-04,inc,51
IHME-CurveFit,2020-07-06,2020-07-11,inc,51
IHME-CurveFit,2020-07-17,2020-07-25,inc,51
IHME-CurveFit,2020-07-23,2020-08-01,inc,51
IHME-CurveFit,2020-07-30,2020-08-08,inc,51
IHME-CurveFit,2020-08-06,2020-08-15,inc,51
IHME-CurveFit,2020-08-24,2020-08-29,inc,51
COVIDhub-ensemble,2020-06-08,2020-06-13,inc,51
COVIDhub-ensemble,2020-06-15,2020-06-20,inc,51
COVIDhub-ensemble,2020-06-22,2020-06-27,inc,51
COVIDhub-ensemble,2020-06-29,2020-07-04,inc,51
COVIDhub-ensemble,2020-07-06,2020-07-11,inc,51
COVIDhub-ensemble,2020-07-13,2020-07-18,inc,51
COVIDhub-ensemble,2020-07-20,2020-07-25,inc,51
COVIDhub-ensemble,2020-07-27,2020-08-01,inc,51
COVIDhub-ensemble,2020-08-03,2020-08-08,inc,51
COVIDhub-ensemble,2020-08-10,2020-08-15,inc,51
COVIDhub-ensemble,2020-08-17,2020-08-22,inc,51
COVIDhub-ensemble,2020-08-24,2020-08-29,inc,51
COVIDhub-baseline,2020-05-18,2020-05-23,inc,51
COVIDhub-baseline,2020-05-25,2020-05-30,inc,51
COVIDhub-baseline,2020-06-01,2020-06-06,inc,51
COVIDhub-baseline,2020-06-08,2020-06-13,inc,51
COVIDhub-baseline,2020-06-15,2020-06-20,inc,51
COVIDhub-baseline,2020-06-22,2020-06-27,inc,51
COVIDhub-baseline,2020-06-29,2020-07-04,inc,51
COVIDhub-baseline,2020-07-06,2020-07-11,inc,51
COVIDhub-baseline,2020-07-13,2020-07-18,inc,51
COVIDhub-baseline,2020-07-20,2020-07-25,inc,51
