model,seasonal_phase,n_forecasts,calib_95,calib_50,relative_wis,relative_abs_error
COVIDhub-baseline,spring,2000,0.91,0.51,1,1
GT-DeepCOVID,spring,1026,0.85,0.31,1.02,1.04
JHU_IDD-CovidSP,spring,1400,0.68,0.23,1.87,2.18
MOBS-GLEAM_COVID,spring,1992,0.63,0.32,1.03,0.97
UMass-MechBayes,spring,1600,0.96,0.62,0.67,0.64
UT-Mobility,spring,1950,0.74,0.33,0.84,0.77
YYG-ParamSearch,spring,2000,0.71,0.36,0.61,0.63
CEID-Walk,summer,2997,0.77,0.44,0.99,1.04
CMU-TimeSeries,summer,3552,0.69,0.36,0.82,0.84
Covid19Sim-Simulator,summer,3398,0.27,0.07,0.97,0.8
COVIDhub-baseline,summer,3996,0.83,0.49,1,1
COVIDhub-ensemble,summer,3996,0.87,0.49,0.68,0.75
CU-select,summer,3996,0.86,0.43,0.84,0.94
DDS-NBDS,summer,3396,0.83,0.39,1.22,1.54
epiforecasts-ensemble1,summer,2772,0.82,0.45,1.97,1
GT-DeepCOVID,summer,3577,0.81,0.37,0.87,0.94
IowaStateLW-STEM,summer,3645,0.45,0.19,1.14,1.04
JHU_IDD-CovidSP,summer,3996,0.83,0.39,1.06,1.22
Karlen-pypm,summer,3596,0.82,0.44,0.89,0.98
LANL-GrowthRate,summer,3996,0.9,0.4,0.94,1.1
MOBS-GLEAM_COVID,summer,3996,0.7,0.4,1.09,1.03
NotreDame-mobility,summer,3996,0.52,0.25,1.32,1.19
OliverWyman-Navigator,summer,3996,0.84,0.49,0.71,0.75
PSI-DRAFT,summer,3992,0.37,0.16,1.75,1.49
RobertWalraven-ESG,summer,3973,0.08,0.04,1.97,1.51
RPI_UW-Mob_Collision,summer,1845,0.61,0.26,1.52,1.53
SteveMcConnell-CovidComplete,summer,2599,0.82,0.56,0.79,0.91
UA-EpiCovDA,summer,3996,0.69,0.37,0.92,0.98
UCLA-SuEIR,summer,3996,0.18,0.05,1.28,1.05
UMass-MechBayes,summer,3996,0.95,0.57,0.65,0.73
UMich-RidgeTfReg,summer,3235,0.36,0.14,1.51,1.33
USACE-ERDC_SEIR,summer,3196,0.12,0.04,2.13,1.72
UT-Mobility,summer,3397,0.71,0.32,1.54,1.58
YYG-ParamSearch,summer,2796,0.87,0.52,0.64,0.66
BPagano-RtDriven,winter,4288,0.74,0.33,0.73,0.77
CEID-Walk,winter,4138,0.83,0.48,0.93,1
CMU-TimeSeries,winter,4288,0.75,0.41,0.77,0.78
Columbia_UNC-SurvCon,winter,3449,0.53,0.29,1.11,0.99
Covid19Sim-Simulator,winter,4288,0.2,0.06,1.03,0.82
CovidAnalytics-DELPHI,winter,4288,0.86,0.51,0.95,0.97
COVIDhub-baseline,winter,4288,0.81,0.37,1,1
COVIDhub-ensemble,winter,4288,0.87,0.46,0.58,0.62
CU-select,winter,4288,0.53,0.25,0.96,0.88
DDS-NBDS,winter,4089,0.85,0.4,1.12,1.5
epiforecasts-ensemble1,winter,4256,0.89,0.45,4.76,4.23
GT-DeepCOVID,winter,4081,0.82,0.38,0.72,0.78
IHME-CurveFit,winter,3340,0.62,0.25,0.7,0.73
IowaStateLW-STEM,winter,4116,0.43,0.17,0.99,0.88
JHU_CSSE-DECOM,winter,4048,0.74,0.29,0.75,0.79
JHU_IDD-CovidSP,winter,4227,0.81,0.38,0.76,0.84
JHUAPL-Bucky,winter,4088,0.6,0.29,1.09,1.09
Karlen-pypm,winter,4288,0.85,0.45,0.58,0.63
LANL-GrowthRate,winter,4288,0.87,0.36,0.74,0.81
Microsoft-DeepSTIA,winter,3888,0.55,0.27,0.84,0.81
MIT_CritData-GBCF,winter,3888,0.03,0.02,1.34,1
MIT_ISOLAT-Mixtures,winter,2272,0.55,0.24,1.15,1.15
MOBS-GLEAM_COVID,winter,4288,0.66,0.32,0.69,0.7
OliverWyman-Navigator,winter,4280,0.8,0.4,0.69,0.73
PSI-DRAFT,winter,4280,0.32,0.13,1.36,1.14
RobertWalraven-ESG,winter,4281,0.63,0.38,0.96,0.84
RPI_UW-Mob_Collision,winter,2312,0.5,0.19,1.24,1.18
SteveMcConnell-CovidComplete,winter,4288,0.77,0.45,0.72,0.74
UA-EpiCovDA,winter,4288,0.61,0.31,0.93,0.84
UCLA-SuEIR,winter,3595,0.3,0.09,1.23,1.06
UCSD_NEU-DeepGLEAM,winter,4288,0.88,0.62,0.75,0.73
UMass-MechBayes,winter,4288,0.92,0.54,0.6,0.63
UMich-RidgeTfReg,winter,3588,0.54,0.31,1.2,1.06
USC-SI_kJalpha,winter,4288,0.6,0.29,0.71,0.7
